"
Year ",Total1,Larceny1,vc1,Others1,Total2,Larceny2,vc2,other2,totaler,Larceny3,vc3,Others3,cr,or,Clear
1992,"289,052","190,305","6,480","92,267","208,298","110,301","4,553","91,984","172,551","34,360","7,216","130,975","1,399.45",835.41,72.06
1993,"319,179","214,383","7,110","97,686","214,409","110,103","5,267","97,484","176,748","32,656","8,206","135,886","1,530.96",847.78,67.18
1994,"323,459","236,251","7,688","79,520","209,177","122,935","5,577","79,253","153,097","30,786","8,837","113,474","1,537.73",727.82,64.67
1995,"429,233","332,154","16,489","80,590","230,513","144,735","8,799","75,403","155,613","34,551","10,993","110,069","2,023.25",733.51,53.7
1996,"456,117","348,879","16,827","90,411","265,471","171,993","8,913","82,921","173,047","40,995","11,426","120,626","2,132.60",809.09,58.2
1997,"426,425","319,902","13,648","92,875","242,392","148,074","9,676","84,642","172,540","34,162","11,084","127,294","1,971.08",797.54,56.84
1998,"434,513","334,495","12,877","87,141","251,638","164,354","9,225","78,059","158,923","36,524","10,627","111,772","1,989.92",727.81,57.91
1999,"386,241","272,355","11,362","102,524","253,299","148,520","8,922","95,857","179,597","40,677","9,681","129,239","1,754.80",815.96,65.58
2000,"438,520","305,793","10,306","122,421","259,645","144,398","6,834","108,413","181,614","38,068","8,217","135,329","1,976.69",818.65,59.21
2001,"490,736","338,063","14,327","138,346","271,128","154,811","8,584","107,733","180,527","40,178","9,595","130,754","2,196.56",808.05,55.25
2002,"503,389","340,536","14,895","147,958","297,816","179,164","10,145","108,507","185,751","40,721","9,488","135,542","2,240.95",826.91,59.16
2003,"494,755","330,655","12,966","151,134","290,962","178,280","9,277","103,405","158,687","34,786","8,580","115,321","2,192.80",703.32,58.81
2004,"522,305","330,320","12,706","179,279","313,848","179,270","7,924","126,654","176,975","35,031","7,441","134,503","2,306.30",781.46,60.09
2005,"555,109","328,154","14,301","212,654","346,677","187,938","8,477","150,262","207,425","39,374","7,508","160,543","2,442.21",912.57,62.45
2006,"512,788","281,561","12,226","219,001","342,329","164,557","7,902","169,870","229,193","39,927","7,978","181,288","2,246.76","1,004.20",66.76
2007,"491,815","241,091","9,534","241,190","367,001","150,108","7,154","209,739","265,860","42,053","7,529","216,278","2,146.03","1,160.08",74.62
2008,"453,439","209,351","8,117","235,971","350,497","133,823","6,493","210,181","271,186","42,364","6,843","221,979","1,971.67","1,179.19",77.3
2009,"386,075","155,151","6,764","224,160","311,648","102,224","5,726","203,698","261,973","35,585","6,139","220,249","1,672.88","1,135.14",80.72
2010,"371,934","142,774","5,312","223,848","296,500","92,076","4,684","199,740","269,340","37,554","5,365","226,421","1,607.25","1,163.91",79.72
2011,"347,674","116,831","4,190","226,653","276,371","77,627","3,943","194,801","260,356","36,278","4,929","219,149","1,499.01","1,122.54",79.49
2012,"317,356","100,264","3,461","213,631","266,512","70,369","3,355","192,788","262,058","37,059","4,527","220,472","1,363.78","1,126.14",83.98
2013,"298,967","82,496","2,525","213,946","258,802","60,436","2,456","195,910","255,310","33,468","3,052","218,790","1,280.66","1,093.65",86.57
2014,"306,300","76,330","2,289","227,681","263,515","59,223","2,234","202,058","261,603","34,574","2,825","224,204","1,308.77","1,117.79",86.03
2015,"297,800","66,255","1,956","229,589","273,567","55,055","2,008","216,504","269,296","33,913","2,522","232,861","1,269.24","1,147.75",91.86
2016,"294,831","57,606","1,627","235,598","274,091","48,898","1,656","223,537","272,817","31,543","2,208","239,066","1,253.75","1,160.14",92.97
2017,"293,453","52,025","1,260","240,168","277,506","46,022","1,293","230,191","287,294","32,204","1,910","253,180","1,245.79","1,219.65",94.57
2018,"284,538","47,591",993,"235,954","270,882","43,262",995,"226,625","291,621","32,028","1,666","257,927","1,206.69","1,236.73",95.2
