"date","USDNTD","RMBNTD","EURUSD","USDJPY","GBPUSD","AUDUSD","USDHKD","USDRMB","start","max","min","end","MEDIAN"
2018-01-02,29.628,4.559868,1.2035,112.6,1.35365,0.78305,7.8155,6.49755,10664.82,10710.73,10650.77,10710.73,10680.75
2018-01-03,29.6,4.552302,1.2033,112.33,1.3591,0.78175,7.8177,6.5022,10759.61,10813.16,10759.61,10801.57,10786.385
2018-01-04,29.59,4.554226,1.2027,112.645,1.35225,0.78465,7.8183,6.49725,10834.58,10853.46,10794.25,10848.63,10823.855
2018-01-05,29.523,4.555045,1.2057,113.15,1.35515,0.7842,7.8191,6.4814,10856.92,10879.8,10815.68,10879.8,10847.74
2018-01-08,29.523,4.545597,1.1999,113.34,1.35405,0.78335,7.82185,6.49485,10899.09,10918.47,10869.12,10915.75,10893.795
2018-01-09,29.536,4.52713,1.19435,112.785,1.3539,0.78365,7.8221,6.5242,10922.35,10931,10860.77,10914.89,10895.885
2018-01-10,29.601,4.534429,1.1945,111.905,1.3514,0.78265,7.8241,6.52805,10915.32,10934.75,10819.25,10831.09,10877
2018-01-11,29.605,4.543894,1.1939,111.74,1.34855,0.7871,7.8232,6.51535,10824.54,10844.08,10770.1,10810.06,10807.09
2018-01-12,29.6,4.568819,1.2062,111.34,1.35455,0.78685,7.82355,6.4787,10818.24,10899.98,10818.24,10883.96,10859.11
2018-01-15,29.542,4.586514,1.2214,110.72,1.3754,0.7947,7.82425,6.44105,10932.37,10962.55,10911.89,10956.31,10937.22
2018-01-16,29.555,4.593911,1.2258,110.71,1.3788,0.79685,7.82445,6.4335,10955.81,10986.11,10920.5,10986.11,10953.305
2018-01-17,29.56,4.592087,1.2233,110.745,1.37805,0.7961,7.8188,6.43715,10976.13,11030.22,10942.95,11004.8,10986.585
2018-01-18,29.562,4.60035,1.22155,111.195,1.38415,0.79815,7.8186,6.42605,11048.06,11122.82,11048.06,11071.57,11085.44
2018-01-19,29.43,4.595141,1.2271,110.71,1.3924,0.80145,7.81695,6.4046,11123.58,11150.85,11095.85,11150.85,11123.35
2018-01-22,29.432,4.596337,1.2241,110.77,1.3899,0.7998,7.8177,6.40335,11169.79,11231.46,11142.38,11231.46,11186.92
2018-01-23,29.402,4.590858,1.224,111.025,1.39535,0.79625,7.8167,6.40445,11243.49,11270.18,11201.52,11253.11,11235.85
